Produi_Desc_FR,Produit_Desc_EN,Date_Emission,Valeur_Nominale,Devise_Nominale,Montant_CAD,Taux_Coupon,Taux_Rendement_Investisseur,Date_Echeance,Encours_Cumulatif_CAD,Prefixe,ISIN,Type_Produits_Ref,Type_Produit_Desc_FR,Type_Produit_Desc_EN,id
Obligations,Debentures,2024-04-03,3750000000,USD,5065700000,4.5,4.531,2029-04-03,3750000000,RE-01,US748148M915,3,Emprunts publics,Public issues,14
Obligations,Debentures,2024-09-05,2000000000,USD,2695300000,4.25,4.275,2034-09-05,2000000000,RF-01,US748148SF18,3,Emprunts publics,Public issues,15
Billets à moyen terme - marché canadien,Medium Term Note - Canadian Program,2024-04-02,600000000,CAD,574100000,3.6,4.158,2033-09-01,11550000000,B135-19,CA74814ZFS70,3,Emprunts publics,Public issues,16
Billets à moyen terme - marché canadien,Medium Term Note - Canadian Program,2024-04-05,750000000,CAD,708200000,3.6,4.328,2033-09-01,12300000000,B135-20,CA74814ZFS70,3,Emprunts publics,Public issues,17
Billets à moyen terme - marché canadien,Medium Term Note - Canadian Program,2024-04-09,600000000,CAD,599300000,4.4,4.407,2055-12-01,10850000000,B133-21,CA74814ZFQ15,3,Emprunts publics,Public issues,18
Billets à moyen terme - marché canadien,Medium Term Note - Canadian Program,2024-04-15,750000000,CAD,752500000,4.45,4.409,2034-09-01,750000000,B136-01,CA74814ZFT53,3,Emprunts publics,Public issues,19
Billets à moyen terme - marché canadien,Medium Term Note - Canadian Program,2024-04-17,750000000,CAD,749300000,4.45,4.461,2034-09-01,1500000000,B136-02,CA74814ZFT53,3,Emprunts publics,Public issues,20
Billets à moyen terme - marché canadien,Medium Term Note - Canadian Program,2024-04-24,600000000,CAD,575200000,4.4,4.651,2055-12-01,11450000000,B133-22,CA74814ZFQ15,3,Emprunts publics,Public issues,21
Billets à moyen terme - marché canadien,Medium Term Note - Canadian Program,2024-04-26,750000000,CAD,744100000,4.45,4.545,2034-09-01,2250000000,B136-03,CA74814ZFT53,3,Emprunts publics,Public issues,22
Billets à moyen terme - marché canadien,Medium Term Note - Canadian Program,2024-05-06,600000000,CAD,578500000,4.4,4.617,2055-12-01,12050000000,B133-23,CA74814ZFQ15,3,Emprunts publics,Public issues,23
Billets à moyen terme - marché canadien,Medium Term Note - Canadian Program,2024-05-14,750000000,CAD,751700000,4.45,4.421,2034-09-01,3000000000,B136-04,CA74814ZFT53,3,Emprunts publics,Public issues,24
Billets à moyen terme - marché canadien,Medium Term Note - Canadian Program,2024-05-17,600000000,CAD,598700000,4.4,4.413,2055-12-01,12650000000,B133-24,CA74814ZFQ15,3,Emprunts publics,Public issues,25
Billets à moyen terme - marché canadien,Medium Term Note - Canadian Program,2024-05-28,750000000,CAD,756200000,4.45,4.349,2034-09-01,3750000000,B136-05,CA74814ZFT53,3,Emprunts publics,Public issues,26
